=== Tenant Migration Log Started: 2026-01-17T18:32:54.887233200 ===
[18:32:55] [4] [products] 29_1768627947255 -> 29_1768627947255 [OK]
[18:32:55] [4] [products] 29_1768666667328 -> 29_1768666667328 [OK]
[18:32:55] [4] [products] 2_1768627860441 -> 2_1768627860441 [OK]
[18:32:55] [4] [products] 2_1768627947218 -> 2_1768627947218 [OK]
[18:32:55] [4] [products] 2_1768666667302 -> 2_1768666667302 [OK]
[18:32:55] [4] [products] 3 -> 3 [OK]
[18:32:55] [4] [products] 30 -> 30 [OK]
[18:32:55] [4] [products] 30_1768627860557 -> 30_1768627860557 [OK]
[18:32:55] [4] [products] 30_1768627947262 -> 30_1768627947262 [OK]
[18:32:55] [4] [products] 30_1768666667337 -> 30_1768666667337 [OK]
[18:32:55] [4] [products] 31 -> 31 [OK]
[18:32:55] [4] [products] 31_1768627860564 -> 31_1768627860564 [OK]
[18:32:55] [4] [products] 31_1768627947265 -> 31_1768627947265 [OK]
[18:32:55] [4] [products] 31_1768666667339 -> 31_1768666667339 [OK]
[18:32:55] [4] [products] 32 -> 32 [OK]
[18:32:55] [4] [products] 32_1768627860566 -> 32_1768627860566 [OK]
[18:32:55] [4] [products] 32_1768627947270 -> 32_1768627947270 [OK]
[18:32:55] [4] [products] 32_1768666667343 -> 32_1768666667343 [OK]
[18:32:55] [4] [products] 33 -> 33 [OK]
[18:32:55] [4] [products] 33_1768627860571 -> 33_1768627860571 [OK]
[18:32:55] [4] [products] 33_1768627947275 -> 33_1768627947275 [OK]
[18:32:55] [4] [products] 33_1768666667345 -> 33_1768666667345 [OK]
[18:32:55] [4] [products] 34 -> 34 [OK]
[18:32:55] [4] [products] 34_1768627860577 -> 34_1768627860577 [OK]
[18:32:55] [4] [products] 34_1768627947278 -> 34_1768627947278 [OK]
[18:32:55] [4] [products] 34_1768666667348 -> 34_1768666667348 [OK]
[18:32:55] [4] [products] 35 -> 35 [OK]
[18:32:55] [4] [products] 35_1768627860589 -> 35_1768627860589 [OK]
[18:32:55] [4] [products] 35_1768627947280 -> 35_1768627947280 [OK]
[18:32:55] [4] [products] 35_1768666667352 -> 35_1768666667352 [OK]
[18:32:55] [4] [products] 36 -> 36 [OK]
[18:32:55] [4] [products] 36_1768627860593 -> 36_1768627860593 [OK]
[18:32:55] [4] [products] 36_1768627947283 -> 36_1768627947283 [OK]
[18:32:55] [4] [products] 36_1768666667354 -> 36_1768666667354 [OK]
[18:32:55] [4] [products] 37 -> 37 [OK]
[18:32:55] [4] [products] 37_1768627860600 -> 37_1768627860600 [OK]
[18:32:55] [4] [products] 37_1768627947286 -> 37_1768627947286 [OK]
[18:32:55] [4] [products] 37_1768666667355 -> 37_1768666667355 [OK]
[18:32:55] [4] [products] 38 -> 38 [OK]
[18:32:55] [4] [products] 38_1768627860603 -> 38_1768627860603 [OK]
[18:32:55] [4] [products] 38_1768627947288 -> 38_1768627947288 [OK]
[18:32:55] [4] [products] 38_1768666667358 -> 38_1768666667358 [OK]
[18:32:55] [4] [products] 39 -> 39 [OK]
[18:32:55] [4] [products] 39_1768627860607 -> 39_1768627860607 [OK]
[18:32:55] [4] [products] 39_1768627947292 -> 39_1768627947292 [OK]
[18:32:55] [4] [products] 39_1768666667360 -> 39_1768666667360 [OK]
[18:32:55] [4] [products] 3_1768627860554 -> 3_1768627860554 [OK]
[18:32:55] [4] [products] 3_1768627947260 -> 3_1768627947260 [OK]
[18:32:55] [4] [products] 3_1768666667334 -> 3_1768666667334 [OK]
[18:32:55] [4] [products] 40 -> 40 [OK]
